name,price,image_url
Caramelised Milk,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/caramelised-milk-chocolate-bar.jpg?v=1663234102
Chai Caramel Latte,5.00,https://cdn.shopify.com/s/files/1/1991/9591/files/chai-latte-caramel.jpg?v=1690706388
Chocolate Caramelised Pecan Nuts,8.95,https://cdn.shopify.com/s/files/1/1991/9591/products/milk-chocolate-caramelised-pecans.jpg?v=1606575599
Chocolate Celebration Hamper,55.00,https://cdn.shopify.com/s/files/1/1991/9591/products/luxury-chocolate-hamper.jpg?v=1669211006
Christmas Cracker,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/christmas-cracker-chocolate-bar.jpg?v=1663663427
Cinnamon Toast,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/cinnamon-toast-chocolate-bar.jpg?v=1663662603
Collection of 4 of our Best Selling Chocolate Malt Balls,30.00,https://cdn.shopify.com/s/files/1/1991/9591/products/malt-balls-chocolate-bundle.jpg?v=1669299661
Colombia 61%,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/colombian-chocolate-bar.jpg?v=1663234122
Crunchy Biscuit,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/crunchy-biscuit-chocolate-bar.jpg?v=1663234137
Dark Chocolate Ginger,8.95,https://cdn.shopify.com/s/files/1/1991/9591/products/dark-chocolate-coated-ginger.jpg?v=1574970622
Dark Chocolate Honeycomb - Bag,8.50,https://cdn.shopify.com/s/files/1/1991/9591/products/Dark_Honeycomb.jpg?v=1616854527
Dark Chocolate Malt Balls,9.00,https://cdn.shopify.com/s/files/1/1991/9591/products/dark-chocolate-malt-balls_d0487776-b66c-42de-8f10-4220a1f90b30.jpg?v=1668446137
Dark Chocolate Orange Peel,10.00,https://cdn.shopify.com/s/files/1/1991/9591/products/dark-chocolate-orange-peel.jpg?v=1579795739
Dark Chocolate Truffles,19.95,https://cdn.shopify.com/s/files/1/1991/9591/products/choc_soc_nov20_hamps122584.jpg?v=1606385906
Ecudorian 41%,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/ecuadorian-chocolate-bar_4029860c-453f-4dfb-a439-dda7089df9b4.jpg?v=1663234152
Flat White Coffee,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/flat-white-chocolate-bar.jpg?v=1663234170
Gift Voucher,10.00,https://cdn.shopify.com/s/files/1/1991/9591/products/Gift_Card.jpg?v=1520435744
Ginger Biscuit,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/ginger-biscuit-chocolate-bar.jpg?v=1663663929
Honeycomb Crunch,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/honeycomb.jpg?v=1663234186
Hot Chocolate Shaker,29.99,https://cdn.shopify.com/s/files/1/1991/9591/products/hot-chocolate-shaker_afd59e6d-ccda-4672-a44f-23527f1340f6.jpg?v=1606382970
Luxury Hot Chocolate Hamper,55.00,https://cdn.shopify.com/s/files/1/1991/9591/products/chocsoc_nov4_21161351.jpg?v=1648028358
Marc De Champagne Truffles,19.95,https://cdn.shopify.com/s/files/1/1991/9591/products/champagne-truffles.jpg?v=1637609550
Marmalade,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/marmalade-chocolate-bar.jpg?v=1663234196
Milk Chocolate Honeycomb - Bag,8.50,https://cdn.shopify.com/s/files/1/1991/9591/products/Milk_Honeycomb.jpg?v=1606636211
Milk Chocolate Malt Balls,9.00,https://cdn.shopify.com/s/files/1/1991/9591/products/milk-chocolate-malt-balls_42bbbd38-bb40-4fcc-86aa-1a10a7abb9a1.jpg?v=1668446113
Milk Chocolate Truffles,19.95,https://cdn.shopify.com/s/files/1/1991/9591/products/choc_soc_nov20_hamps122590_15e32569-1540-4b84-82fb-f90627640c59.jpg?v=1606385827
Orange Malt Balls,8.00,https://cdn.shopify.com/s/files/1/1991/9591/products/orange-chocolate-malt-balls.jpg?v=1668457281
Peppermint Malt Balls,8.00,https://cdn.shopify.com/s/files/1/1991/9591/products/peppermint-chocolate-malt-balls.jpg?v=1668457169
Peppermint Swirl,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/peppermint-chocolate-bar.jpg?v=1663234215
Pistachio & Cranberry,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/pistachio-cranberry-chocolate-bar.jpg?v=1663663375
Pretzel Caramel,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/pretzel-caramel.jpg?v=1663234232
Roasted Almonds,8.95,https://cdn.shopify.com/s/files/1/1991/9591/products/chocolate-covered-roasted-almonds.jpg?v=1617990180
Rose & Violet Creams,12.00,https://cdn.shopify.com/s/files/1/1991/9591/products/rose-violet-creams.jpg?v=1637602719
Salt Caramel Malt Balls,9.00,https://cdn.shopify.com/s/files/1/1991/9591/products/salted-caramel-chocolate-malt-balls.jpg?v=1668457390
Salt Caramelised Hazelnuts,8.95,https://cdn.shopify.com/s/files/1/1991/9591/products/chocolate-coated-caramelised-hazelnuts.jpg?v=1569862326
Salted Caramel,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/sea-salt-caramel-chocolate-bar.jpg?v=1663234252
Salted Caramel Florentines,12.50,https://cdn.shopify.com/s/files/1/1991/9591/products/salted-caramel-floretnines.jpg?v=1637779995
Salted Caramels Blonde Chocolate,19.95,https://cdn.shopify.com/s/files/1/1991/9591/products/choc_soc_nov20_hamps122585_78d011ac-0252-4c25-ae78-03fb33e38975.jpg?v=1653657314
Salted Caramels Dark Chocolate,19.95,https://cdn.shopify.com/s/files/1/1991/9591/products/choc_soc_nov20_hamps122586.jpg?v=1606386184
Salted Caramels Milk Chocolate,19.95,https://cdn.shopify.com/s/files/1/1991/9591/products/choc_soc_nov20_hamps122587.jpg?v=1606386404
Tea & Biscuit,5.00,https://cdn.shopify.com/s/files/1/1991/9591/files/tea-biscuit.jpg?v=1690706660
Velvet White,5.00,https://cdn.shopify.com/s/files/1/1991/9591/products/velvet-white-chocolate-bar_dc51dace-9190-4dbb-943f-3cf73fbd3cfe.jpg?v=1663234293
